[129: PlayerSettings] string.size 1818391920 > 10_000_000 \macAppStoreCategory, buf.Position=352
129: PlayerSettings pathID: 1

Ba.Warning: pos: 352 != len: 647 for: {fileID: 0 (globalgamemanagers), pathID: 1, m_Name: , type: PlayerSettings}
Begin export: {fileID: 0 (globalgamemanagers), pathID: 1, m_Name: , type: PlayerSettings}
End export-ok: {fileID: 0 (globalgamemanagers), pathID: 1, m_Name: , type: PlayerSettings}
Mem  678 Mb (+0) on {fileID: 0 (globalgamemanagers), pathID: 1, m_Name: , type: PlayerSettings}
Begin export: {fileID: 0 (globalgamemanagers), pathID: 2, m_Name: , type: InputManager}
End export-ok: {fileID: 0 (globalgamemanagers), pathID: 2, m_Name: , type: InputManager}
Mem  679 Mb (+0) on {fileID: 0 (globalgamemanagers), pathID: 2, m_Name: , type: InputManager}
Begin export: {fileID: 0 (globalgamemanagers), pathID: 3, m_Name: , type: TagManager}
End export-ok: {fileID: 0 (globalgamemanagers), pathID: 3, m_Name: , type: TagManager}
Mem  679 Mb (+0) on {fileID: 0 (globalgamemanagers), pathID: 3, m_Name: , type: TagManager}
Begin export: {fileID: 0 (globalgamemanagers), pathID: 4, m_Name: , type: AudioManager}
End export-ok: {fileID: 0 (globalgamemanagers), pathID: 4, m_Name: , type: AudioManager}
Mem  679 Mb (+0) on {fileID: 0 (globalgamemanagers), pathID: 4, m_Name: , type: AudioManager}
Begin export: {fileID: 0 (globalgamemanagers), pathID: 8, m_Name: , type: TimeManager}
End export-ok: {fileID: 0 (globalgamemanagers), pathID: 8, m_Name: , type: TimeManager}
Mem  679 Mb (+0) on {fileID: 0 (globalgamemanagers), pathID: 8, m_Name: , type: TimeManager}
Begin export: {fileID: 0 (globalgamemanagers), pathID: 10, m_Name: , type: PhysicsManager}
End export-ok: {fileID: 0 (globalgamemanagers), pathID: 10, m_Name: , type: PhysicsManager}
Mem  679 Mb (+0) on {fileID: 0 (globalgamemanagers), pathID: 10, m_Name: , type: PhysicsManager}
[141: BuildSettings] string.size 436657291 > 10_000_000 \m_Version, buf.Position=420
141: BuildSettings pathID: 11

Ba.Warning: pos: 420 != len: 24732 for: {fileID: 0 (globalgamemanagers), pathID: 11, m_Name: , type: BuildSettings}
Begin export: {fileID: 0 (globalgamemanagers), pathID: 11, m_Name: , type: BuildSettings}
End export-ok: {fileID: 0 (globalgamemanagers), pathID: 11, m_Name: , type: BuildSettings}
Mem  679 Mb (+0) on {fileID: 0 (globalgamemanagers), pathID: 11, m_Name: , type: BuildSettings}
Begin export: {fileID: 0 (globalgamemanagers), pathID: 14, m_Name: , type: NavMeshAreas}
End export-ok: {fileID: 0 (globalgamemanagers), pathID: 14, m_Name: , type: NavMeshAreas}
Mem  680 Mb (+0) on {fileID: 0 (globalgamemanagers), pathID: 14, m_Name: , type: NavMeshAreas}
Begin export: {fileID: 0 (globalgamemanagers), pathID: 15, m_Name: , type: Physics2DSettings}
End export-ok: {fileID: 0 (globalgamemanagers), pathID: 15, m_Name: , type: Physics2DSettings}
Mem  680 Mb (+0) on {fileID: 0 (globalgamemanagers), pathID: 15, m_Name: , type: Physics2DSettings}
